170	Television and Movies influence our lives both negatively and positively
171	Reasons why travelers visit Museums ?
172	A man ' s manner is a mirror that reflects his virtues
173	Your job has more effect on your happiness than your living environment does
174	Television has more bad than good in respect of bonds with family and friends
175	Haste makes waste
176	People are now able to overcome long distances in a short amount of time
177	Choosing the job that is similar to parents ' jobs could benefit to one ' s career
178	Should parents limit their children watching TV to make them do well in school ?
179	Should we pay professional athletes ( entertainers ) a high salary ?
180	People who can ’ t accept others ’ criticism can ’ t succeed in group working
181	How teachers can make the subject interesting to students !
182	Environmental protection vs Economic developments
183	University students should attend classes or not ?
184	What ' s more important : hard work or luck ?
185	Sometimes it is good to learn with a teacher and sometimes on my own
186	Once you are unique enough , you are already on the way to success
187	Younger school children should study art and music
188	Challenges are different from generation to generation
189	Whether it is better to have broad knowledge or not
190	TV has adverse effects on friends and family
191	Spending equal amount of money on libraries and sports ?
192	Ability to Relate Well to people Vs Studying Hard
193	It is essential to have ability to plan and organize
194	Students should attend to classes or it should be optional ?
195	Telephones and emails have made personal communication less required
196	Big city vs small town
197	Which do you prefer : do only what you already do well , or not .
198	Children managing their own money - best way to learn responsibility
199	Dancing plays an important role in a culture .
200	The internet provides a lot of valuable information
201	Universities require students to study many subjects or specialize in one subject
202	Best ways of reducing stress : listening to music , exercise , meditation
203	Should replace normal classroom with online computer classes ?
204	Experiences that have shaped your outlook and the way you live
205	Some people prefer to work for a large company
206	Higher education should be available only to good students or not
207	Disagree Playing Computer Games wastes time and students should not be allowed !
208	Do you think classmates or colleagues should work on projects in person or by e - mail
209	Professors should do more research or teach students ?
210	Learning with a teacher is more efficient than by myself .
211	Technology designed to make people ' s lives simpler often make them more complicated
212	Part time job for teenage students
213	Which is better - Learning foreign language in home or host country ?
214	One long vacation or several long vacation
215	Saving / Spending money
216	Rush vs Slower Pace
217	Human needs vs saving land for endangered animals
218	Going to classes should be optional for the students
219	Famous people are bothered by the media
220	Staying in one place is better than moving number of places
221	It is not necessary for university students to attend classes
222	I ' m against providing more money to professors
223	Our useful friends
224	Extraordinarily cautious is important since rough work is intolerable
225	Living in big cities or living in small towns
226	Every experience always gives us something to learn and keep for life
227	Drivers have to pay a fee for driving in Rush Hour
228	The part - time job can let students experience the real adult life and know more about it
229	Type of temper and advantages of individual work as best arguments in favor of studying alone
230	Work for themselves vs work for employer
231	Parents are our teachers from the very early time in our life
232	Different types of tasks endow more colors to our life
233	Excellent knowledge is better than ability to adopt oneself
234	Is it necessary for children or not ?
235	In personal live , we have some responsibilities towards other people
236	Young adults preference on how long they should live with their parents before moving out
237	Technology impact on people
238	Advantages and disadvantages of machines instead of human to do the work
239	Question about the influence of the media coverage of celebrities
240	Modern forms of communication ; ' electronic letter '
241	People should create a sense of co - operation in their children
242	Man to man interaction changed
243	Sense of cooperation
244	Discuss both harms and good of advertising and give your opinion
245	High sum of money of modern artist
246	Working Extended hours should restricted
247	Advertising impact on people ' s choice of consumption
248	Schools should only teach children the academic subject
249	Internet will end the era of newspapers and magazines
250	Children from poorer families are more successful in the future life .
251	Recent medical problems and sedentary lifestyle .
252	Problems and benefits of international tourism
253	How to learn children more efficiently
254	The option to work or study from home is advantage or disadvantage
255	Some celebrities misguide young people & some guide them in right direction
256	Children can effectively learn from watching television
257	Machines - positive or negative for humans
258	Way to reduce the amount of traffic ?
259	Effect of celebrities on youth
260	The gender issue for getting education needs
261	Smoking should be made prohibited in public places
262	Tourism : good or bad ?
263	Future information technology : positive or negative ?
264	Vegetarianism - why some people are choosing to become vegetarian ?
265	The zoo deserves maintenance and public respect
266	Languages ' extinction , discuss both views
267	Prevention is better than cure
268	Teacher is the best option for children ' s education in some aspects
269	Salary is the most important consideration when choosing a job
270	Increased taxation on petrol and diesel fuel to discourage private cars ?
271	Negative effects of technological process
272	Large amount of violence in television programs
273	Do guns can really increase the level of violence ?
274	Life in Big Cities Vs People ' s health
275	Education plays an important role in the socioeconomic status of a country
276	Celebrities & Their Influences
277	Mobile phones : faster communication vs social problems
278	The environment problems facing today ' s world are so great
279	Is it necessary to teach children handwriting ?
280	The tax reduction of state school for parents who have children studying in private system
281	Arts and public services are both important to the community and should be invested properly
282	Modern technology has impacted the traditional cultures in both negative and positive ways
283	Drugs , alcohol and messy sex lives
284	Fatherhood should be as present as motherhood in a child ' s life starting from the the birth
285	Children should studying hard or playing sport ? Both can improve their future
